Reference area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
E07000209 Guildford,4.86198,5.63223,6.14071,7.02161,7.31995,7.61439,8.77314,9.26038,9.24121,9.79399,9.88639,9.37542,8.39828,10.4167,9.66748,9.83894
E07000208 Epsom and Ewell,5.43687,6.00655,6.65637,8.64584,7.93556,8.33445,8.39397,9.98396,10.2464,10.7624,11.129,9.78983,8.36593,10.5585,10.3649,10.1598
E07000207 Elmbridge,6.27744,6.86732,7.39667,9.00049,9.84654,10.0732,10.0277,11.4239,9.95971,11.1424,11.4882,12.5866,12.2786,12.8344,12.3369,12.4553
E07000206 Waveney,3.234,3.61168,3.32353,3.66999,3.99526,4.70528,5.57345,6.81073,7.17561,7.16811,7.55674,7.46493,5.93008,6.85746,6.42245,6.71545
E07000205 Suffolk Coastal,3.38586,3.62811,3.88947,4.4291,4.82298,5.61513,6.3754,6.83852,7.33028,7.14501,7.30606,7.78177,6.6073,7.87664,7.35045,7.35252
E07000204 St Edmundsbury,3.79472,4.16629,4.45083,4.87597,4.8347,6.30019,7.41426,7.93487,8.02593,8.2994,9.11141,7.92256,6.98767,7.37269,7.5074,7.33385
E07000203 Mid Suffolk,3.93396,3.95507,4.34579,5.98905,4.84568,5.80254,6.67538,7.76416,8.42304,7.61458,8.66758,8.35933,7.44938,8.51725,7.66773,8.26155
E07000202 Ipswich,3.00267,3.09877,3.40827,3.70677,3.8614,4.59849,5.33858,6.07738,6.50009,6.13824,6.28801,5.6073,5.15067,5.37255,5.14744,5.39371
E07000201 Forest Heath,3.97064,3.67931,4.2174,4.11369,4.33493,5.34718,5.81651,6.58705,7.8584,7.59223,7.82548,7.92133,6.73389,7.14422,6.40015,7.23671
E07000200 Babergh,4.09734,4.05082,4.32532,4.70161,4.87221,6.07631,7.33071,7.73412,8.34233,8.16742,8.28919,8.63696,7.88966,9.10872,7.89999,8.31357
E07000199 Tamworth,3.35499,3.18836,3.64743,3.61657,4.11671,4.62265,4.81334,5.8666,6.02871,6.71165,6.60535,6.21152,6.25229,6.20577,6.10335,5.7954
E07000198 Staffordshire Moorlands,3.09424,2.98613,3.13608,3.39521,3.58556,3.73378,4.55161,6.35478,6.0818,6.6572,7.03524,6.55923,5.78776,6.32358,5.58495,5.62817
